section_a,section_b,journal_cat_similarity
Twinbrook III,Translational Allergic Immunopathology Unit,0.030837004405286344
Pathogenesis and Immunity Section,Building NIHAC/103,0.030818278427205102
Vaccine Development Unit,Building NIHAC/103,0.030818278427205102
Protein Chemistry Section,Lymphocyte Biology Section,0.03081232492997199
Office of the Animal Program Director,Molecular HIV Host Interactions Section,0.03076923076923077
Prion Cell Biology Unit,Clinical Microbiome Unit (CMU),0.03076923076923077
Barrier Immunity Section,Bacterial Physiology and Metabolism Unit,0.030737704918032786
LID Clinical Studies Unit,Disease Modeling and Transmission Section,0.030728709394205442
Microbial Pathogenesis Section,Biological Imaging,0.030728709394205442
Cellular Biology Section,Buildings 4 and 10/11C127,0.03070175438596491
Clinical Microbiome Unit (CMU),Cell Signaling and Immunity Section,0.03067484662576687
Malaria Cell Biology Section,Antibody Biology Unit,0.03067484662576687
Epidemiology and Population Studies Unit,Allergy and Immunology Clinical Training Program,0.030612244897959183
Protein Chemistry Section,Buildings 4 and 10/11C127,0.030612244897959183
Protein Chemistry Section,Emerging Virus Immunity Unit,0.030555555555555555
Vector-Pathogen-Host Interaction Unit,Twinbrook III,0.030531324345757335
International HIV/STD Section,Antibacterial Host Defense Unit,0.03052683407188577
Immunopathogenesis Section (Laboratory of Immunoregulation),Buildings 4 and 10/11C127,0.030513176144244106
Protein Chemistry Section,B-Cell Molecular Immunology Section,0.03048780487804878
Viral Epidemiology and Immunity Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.030478955007256895
Twinbrook III,Genetic Engineering Section,0.030405405405405407
Cellular Immunology Section,Antibody Biology Unit,0.030379746835443037
DNA Tumor Virus Section,Buildings 4 and 10/11C127,0.030379746835443037
Office of the Animal Program Director,Clinical Microbiome Unit (CMU),0.030303030303030304
Protein Chemistry Section,Mucosal Immunity Section,0.030303030303030304
T-Cell Tolerance and Memory Section,Bacterial Physiology and Metabolism Unit,0.030303030303030304
Intracellular Parasite Biology Section,Buildings 4 and 10/11C127,0.030257186081694403
Translational Mycology Section,Protein Chemistry Section,0.030232558139534883
Protein Chemistry Section,Lyme Disease Studies Unit,0.03018867924528302
Protein Chemistry Section,Lung and Vascular Inflammation Section,0.030120481927710843
NIAID International Center of Excellence in Research Cambodia,Barrier Immunity Section,0.03006012024048096
Microbial Pathogenesis Section,LID Clinical Studies Unit,0.02992957746478873
Office of the Animal Program Director,Genomic Technologies Section,0.029914529914529916
Protein Chemistry Section,HIV-Specific Immunity Section,0.029891304347826088
Vector-Pathogen-Host Interaction Unit,Tick-Pathogen Transmission Unit,0.029880478087649404
Office of the Animal Program Director,Molecular Biology Section,0.029850746268656716
NIAID International Center of Excellence in Research Cambodia,Emerging Respiratory Viruses Section,0.029787234042553193
NIAID International Center of Excellence in Research Cambodia,Medical Virology Section,0.029787234042553193
Molecular and Cellular Immunology Section,Clinical Microbiome Unit (CMU),0.02977667493796526
Immune Activation Section,Bacterial Physiology and Metabolism Unit,0.02976190476190476
Molecular Signaling Section,Bacterial Physiology and Metabolism Unit,0.02976190476190476
Signaling Systems Section,Bacterial Physiology and Metabolism Unit,0.02976190476190476
Disease Modeling and Transmission Section,Biological Imaging,0.02972027972027972
Buildings 4 and 10/11C127,Antibody Biology Unit,0.0297029702970297
Type 2 Immunity Section,Office of the Animal Program Director,0.0297029702970297
TSE/Prion Biochemistry Section,Protein Chemistry Section,0.02968036529680365
Protein Chemistry Section,Immunobiology and Molecular Virology Unit,0.02967359050445104
Human Immunological Diseases Section,Clinical Microbiome Unit (CMU),0.02966507177033493
Pathogenesis and Immunity Section,Allergy and Immunology Clinical Training Program,0.02962962962962963
Vaccine Development Unit,Allergy and Immunology Clinical Training Program,0.02962962962962963
Viral Budding Unit,Buildings 4 and 10/11C127,0.02962962962962963
Pathogen-Host Cell Biology Section,Bacterial Physiology and Metabolism Unit,0.029585798816568046
TSE/Prion Biochemistry Section,Bacterial Physiology and Metabolism Unit,0.029545454545454545
TSE/Prion Biochemistry Section,Allergy and Immunology Clinical Training Program,0.029535864978902954
Tuberculosis Research Section,Allergy and Immunology Clinical Training Program,0.029490616621983913
HIV-Specific Immunity Section,Antibody Biology Unit,0.029411764705882353
Pathology Core,Bacterial Physiology and Metabolism Unit,0.029411764705882353
Systems Genomics Section,Antibody Biology Unit,0.029411764705882353
Vector Molecular Biology Section,LID Clinical Studies Unit,0.029411764705882353
NIAID International Center of Excellence in Research Cambodia,Mucosal Immunity Section,0.029339853300733496
Type 2 Immunity Section,Buildings 4 and 10/11C127,0.029333333333333333
Molecular Genetics Section (Laboratory of Viral Diseases),Lymphocyte Activation Section,0.02932551319648094
Intracellular Parasite Biology Section,Allergy and Immunology Clinical Training Program,0.02931323283082077
Systems Genomics Section,Clinical Microbiome Unit (CMU),0.029288702928870293
Molecular Development of the Immune System Section,Bacterial Physiology and Metabolism Unit,0.02927927927927928
Office of the Animal Program Director,Apicomplexan Molecular Physiology Section,0.029239766081871343
HIV-Specific Immunity Section,Clinical Microbiome Unit (CMU),0.029197080291970802
Buildings 4 and 10/11C127,Barrier Immunity Section,0.029141104294478526
Molecular Parasitology and Entomology Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.029133284777858703
NIAID International Center of Excellence in Research Cambodia,Genetic Engineering Section,0.02912621359223301
Tuberculosis Research Section,Quantitative Virology and Evolution Unit,0.02912621359223301
HIV Pathogenesis Section,Antibody Biology Unit,0.029106029106029108
Office of the Animal Program Director,Mucosal Immunobiology Section,0.029069767441860465
Primary Immune Deficiency Clinic,Bacterial Physiology and Metabolism Unit,0.029045643153526972
Clinical Research Section,Buildings 4 and 10/11C127,0.029038112522686024
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Building 33,0.029006526468455404
Bacterial Pathogenesis and Antimicrobial Resistance Unit,Allergy and Immunology Clinical Training Program,0.028985507246376812
Vector Molecular Biology Section,Allergy and Immunology Clinical Training Program,0.028973509933774833
Molecular Microbiology Section,Buildings 4 and 10/11C127,0.0289193302891933
NIAID International Center of Excellence in Research Cambodia,HIV-Specific Immunity Section,0.028871391076115485
Tick-Pathogen Transmission Unit,Immune Deficiency Genetics Section,0.0288659793814433
Cellular Biology Section,Bacterial Physiology and Metabolism Unit,0.028735632183908046
Genetic Immunotherapy Section,Building NIHAC/103,0.028727770177838577
Vector Biology Section,Allergy and Immunology Clinical Training Program,0.028684470820969338
Viral Biochemistry Section,Buildings 4 and 10/11C127,0.028629856850715747
Transplant Infectious Diseases Consult Service,Clinical Microbiome Unit (CMU),0.02857142857142857
Twinbrook III,T-Cell Tolerance and Memory Section,0.02857142857142857
Protein Chemistry Section,Clinical Research Section,0.02849740932642487
Disease Modeling and Transmission Section,Allergy and Immunology Clinical Training Program,0.028472821397756688
Vector-Pathogen-Host Interaction Unit,Antibacterial Host Defense Unit,0.02836596084698362
Twinbrook III,Intracellular Parasite Biology Section,0.028294260307194827
Nonhuman Primate Virology Section,Buildings 4 and 10/11C127,0.028273809523809524
Human Immunological Diseases Section,Biological Imaging,0.028265107212475632
Visual and Medical Arts Unit,Malaria Functional Genomics Section,0.02821869488536155
Pathogenesis and Immunity Section,NIAID International Center of Excellence in Research Cambodia,0.028169014084507043
Translational Allergic Immunopathology Unit,Office of the Animal Program Director,0.028169014084507043
Vaccine Development Unit,NIAID International Center of Excellence in Research Cambodia,0.028169014084507043
Vector Biology Section,LID Clinical Studies Unit,0.028169014084507043
Helminth Immunology Section,Building NIHAC/103,0.028037383177570093
LID Clinical Studies Unit,Intracellular Parasite Biology Section,0.02801358234295416
Buildings 4 and 10/11C127,Antibacterial Host Defense Unit,0.028
NIAID International Center of Excellence in Research Cambodia,Chemotaxis Signal Section,0.027972027972027972
Human Immunological Diseases Section,Building 33,0.027965284474445518
Malaria Functional Genomics Section,Antibody Biology Unit,0.027923211169284468
Immunobiology Section,Buildings 4 and 10/11C127,0.027888446215139442
Lyme Disease Studies Unit,Buildings 4 and 10/11C127,0.027842227378190254
NIAID International Center of Excellence in Research Cambodia,Molecular Microbiology Section,0.027722772277227723
Protein Chemistry Section,Neuroimmunological Diseases Section,0.027692307692307693
Microbial Pathogenesis Section,Allergy and Immunology Clinical Training Program,0.02768166089965398
Office of the Animal Program Director,Caliciviruses Section,0.02766798418972332
Immune Deficiency Genetics Section,Building 33,0.027659574468085105
Systems Genomics Section,NIAID International Center of Excellence in Research Cambodia,0.027616279069767442
Neuroimmunological Diseases Section,Bacterial Physiology and Metabolism Unit,0.027522935779816515
Nonhuman Primate Virology Section,Bacterial Physiology and Metabolism Unit,0.0275049115913556
Molecular Genetics Section (Laboratory of Bacteriology),Allergy and Immunology Clinical Training Program,0.027472527472527472
LID Clinical Studies Unit,Helminth Immunology Section,0.027462121212121212
Pathogen Molecular Genetics Section,Buildings 4 and 10/11C127,0.027447392497712716
Salmonella-Host Cell Interactions Section,Office of the Animal Program Director,0.0273972602739726
Lymphocyte Activation Section,Biological Imaging,0.027366863905325445
Systems Genomics Section,Buildings 4 and 10/11C127,0.027348394768133173
Plague Section,Office of the Animal Program Director,0.02734375
RML Microscopy Unit,Office of the Animal Program Director,0.02734375
Visual and Medical Arts Unit,TSE/Prion Molecular Biology Section,0.0273224043715847
Virus Ecology Section,Antibody Biology Unit,0.027160493827160494
Office of the Animal Program Director,Clinical Pathophysiology Section,0.027149321266968326
Viral Immunology Section,Office of the Animal Program Director,0.027131782945736434
Immunobiology Section,Bacterial Physiology and Metabolism Unit,0.02711864406779661
Protein Chemistry Section,Molecular Development of the Immune System Section,0.02708803611738149
LID Clinical Studies Unit,Building 50,0.02702702702702703
Molecular Genetics Section (Laboratory of Viral Diseases),Lung and Vascular Inflammation Section,0.02702702702702703
Viral Budding Unit,Clinical Microbiome Unit (CMU),0.02702702702702703
Twinbrook III,Lymphocyte Activation Section,0.026988636363636364
Human Immunological Diseases Section,Building NIHAC/103,0.02697495183044316
Pathogen Molecular Genetics Section,Allergy and Immunology Clinical Training Program,0.026970954356846474
Caliciviruses Section,Allergy and Immunology Clinical Training Program,0.026936026936026935
Prion Cell Biology Unit,Building 33,0.026881720430107527
Immunopathogenesis Section (Laboratory of Immunoregulation),Bacterial Physiology and Metabolism Unit,0.026785714285714284
Clinical and Molecular Retrovirology Section,Bacterial Physiology and Metabolism Unit,0.026748971193415638
Molecular Parasitology and Entomology Unit,Immune Deficiency Genetics Section,0.026737967914438502
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Allergy and Immunology Clinical Training Program,0.026714801444043323
Twinbrook III,Microbial Pathogenesis Section,0.026688907422852376
Pathogen Molecular Genetics Section,NIAID International Center of Excellence in Research Cambodia,0.026567481402763018
Emerging Virus Immunity Unit,Buildings 4 and 10/11C127,0.026565464895635674
Molecular Parasitology and Entomology Unit,Lymphocyte Activation Section,0.026509572901325478
Malaria Functional Genomics Section,Allergy and Immunology Clinical Training Program,0.026490066225165563
Viral Pathogenesis and Vaccine Section,Office of the Animal Program Director,0.026490066225165563
Office of the Animal Program Director,Host-Parasite Interactions Section,0.02643171806167401
Office of the Animal Program Director,Inflammation Biology Section,0.026415094339622643
Lymphocyte Activation Section,Building 33,0.026392961876832845
Protein Chemistry Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.026385224274406333
Clinical Microbiome Unit (CMU),Bacterial Physiology and Metabolism Unit,0.02631578947368421
Malaria Functional Genomics Section,Bacterial Physiology and Metabolism Unit,0.02631578947368421
Office of the Animal Program Director,Immunity to Pulmonary Pathogens Section,0.02631578947368421
Quantitative Virology and Evolution Unit,Chlamydial Diseases Section,0.02631578947368421
T-Cell Tolerance and Memory Section,International HIV/STD Section,0.02631578947368421
TSE/Prion and Retroviral Pathogenesis Section,Office of the Animal Program Director,0.02631578947368421
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Biological Imaging,0.026239067055393587
Clinical and Molecular Retrovirology Section,Buildings 4 and 10/11C127,0.026153846153846153
Office of the Animal Program Director,Epidemiology and Population Studies Unit,0.026143790849673203
RML Genomics Unit,Office of the Animal Program Director,0.026119402985074626
RNA Viruses Section,Office of the Animal Program Director,0.026119402985074626
Clinical Microbiome Unit (CMU),Chemotaxis Signal Section,0.02608695652173913
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Building NIHAC/103,0.026030368763557483
Quantitative Virology and Evolution Unit,Pathogenesis and Immunity Section,0.02600216684723727
Vaccine Development Unit,Quantitative Virology and Evolution Unit,0.02600216684723727
Functional Cellular Networks Section,Bacterial Physiology and Metabolism Unit,0.025974025974025976
Protein Chemistry Section,Immune Activation Section,0.025793650793650792
Protein Chemistry Section,Molecular Signaling Section,0.025793650793650792
Immune Deficiency Genetics Section,Biological Imaging,0.02577873254564984
Vector-Pathogen-Host Interaction Unit,Research Technology Branch,0.025762980578676178
Molecular Genetics Section (Laboratory of Viral Diseases),Buildings 4 and 10/11C127,0.02564102564102564
Protein Chemistry Section,Cellular Immunology Section,0.02557544757033248
LID Clinical Studies Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.02556610664718773
Quantitative Virology and Evolution Unit,Pathogen Molecular Genetics Section,0.02553191489361702
Genetic Immunotherapy Section,Antibody Biology Unit,0.025495750708215296
Quantitative Virology and Evolution Unit,Emerging Respiratory Viruses Section,0.025477707006369428
Quantitative Virology and Evolution Unit,Medical Virology Section,0.025477707006369428
Pathogen-Host Cell Biology Section,Buildings 4 and 10/11C127,0.02526002971768202
Immune Deficiency Genetics Section,Clinical Microbiome Unit (CMU),0.025210084033613446
Protein Chemistry Section,Molecular and Cellular Immunoregulation Section,0.025179856115107913
Protein Chemistry Section,HIV Pathogenesis Section,0.025157232704402517
Protein Chemistry Section,Primary Immune Deficiency Clinic,0.025
Virus Ecology Section,Protein Chemistry Section,0.025
NIAID International Center of Excellence in Research Cambodia,Immunobiology Section,0.024916943521594685
Intracellular Parasite Biology Section,Clinical Microbiome Unit (CMU),0.024875621890547265
Building 14B South,Biology of Vector-Borne Viruses Section,0.024844720496894408
Twinbrook III,Cell Signaling and Immunity Section,0.024793388429752067
Protein Chemistry Section,Clinical and Molecular Retrovirology Section,0.024742268041237112
Molecular and Cellular Immunology Section,Bacterial Physiology and Metabolism Unit,0.024725274725274724
Protein Chemistry Section,Malaria Cell Biology Section,0.024691358024691357
Molecular Genetics Section (Laboratory of Viral Diseases),International HIV/STD Section,0.024679170779861797
Viral Pathogenesis and Evolution Section,Protein Chemistry Section,0.02466367713004484
Translational Autoinflammatory Disease Studies Unit,Bacterial Physiology and Metabolism Unit,0.02464788732394366
Protein Chemistry Section,Malaria Functional Genomics Section,0.02460456942003515
Structural Informatics Unit,International HIV/STD Section,0.02457002457002457
Protein Chemistry Section,Barrier Immunity Section,0.024539877300613498
Visual and Medical Arts Unit,Neuroimmunological Diseases Section,0.024539877300613498
Retroviral Immunology Section,Office of the Animal Program Director,0.024475524475524476
Building 50,Biological Imaging,0.024390243902439025
Vector-Pathogen-Host Interaction Unit,Buildings 4 and 10/11C127,0.02438095238095238
Tick-Pathogen Transmission Unit,Human Immunological Diseases Section,0.024253731343283583
Barrier Immunity Section,Antibody Biology Unit,0.024242424242424242
Protein Chemistry Section,Infectious Disease Fellowship Training Program,0.024242424242424242
Vector Biology Section,Quantitative Virology and Evolution Unit,0.024242424242424242
Infectious Disease Fellowship Training Program,Buildings 4 and 10/11C127,0.024193548387096774
Office of the Animal Program Director,Epithelial Therapeutics Unit,0.024193548387096774
Mast Cell Biology Section,Buildings 4 and 10/11C127,0.024175824175824177
Viral Pathogenesis Section (Laboratory of Viral Diseases),Office of the Animal Program Director,0.02413793103448276
LID Clinical Studies Unit,Building NIHAC/103,0.024096385542168676
Malaria Genetics Section,Clinical Microbiome Unit (CMU),0.024067388688327317
Visual and Medical Arts Unit,Signaling Systems Section,0.023952095808383235
Vector-Pathogen-Host Interaction Unit,Structural Informatics Unit,0.023942537909018357
Disease Modeling and Transmission Section,Clinical Microbiome Unit (CMU),0.02391118701964133
Office of the Animal Program Director,LID Clinical Studies Unit,0.023809523809523808
Systems Genomics Section,Allergy and Immunology Clinical Training Program,0.023809523809523808
Quantitative Virology and Evolution Unit,Malaria Genetics Section,0.023779724655819776
Protein Chemistry Section,Coxiella Pathogenesis Section,0.02349869451697128
Genetic Engineering Section,Allergy and Immunology Clinical Training Program,0.023474178403755867
Chlamydial Diseases Section,Buildings 4 and 10/11C127,0.0234375
Lymphocyte Activation Section,Building NIHAC/103,0.023391812865497075
Transplant Infectious Diseases Consult Service,International HIV/STD Section,0.023323615160349854
Nonhuman Primate Virology Section,Antibody Biology Unit,0.02330097087378641
LID Clinical Studies Unit,Allergy and Immunology Clinical Training Program,0.023255813953488372
Microbial Pathogenesis Section,Buildings 4 and 10/11C127,0.023237800154918668
Office of the Animal Program Director,Molecular Defenses Section,0.0231023102310231
Twinbrook III,Genetic Immunotherapy Section,0.023076923076923078
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Buildings 4 and 10/11C127,0.023026315789473683
Office of the Animal Program Director,Molecular Parasitology Section,0.023026315789473683
Immunopathogenesis Section (Laboratory of Immunoregulation),Antibody Biology Unit,0.022968197879858657
Mast Cell Biology Section,Biological Imaging,0.022894521668029435
Malaria Immunology Section,Bacterial Physiology and Metabolism Unit,0.02276176024279211
Quantitative Virology and Evolution Unit,Bacterial Physiology and Metabolism Unit,0.022727272727272728
Viral Epidemiology and Immunity Unit,Mast Cell Biology Section,0.022672064777327937
LID Clinical Studies Unit,Immune Deficiency Genetics Section,0.02258064516129032
Quantitative Virology and Evolution Unit,Human Immunological Diseases Section,0.022549019607843137
Visual and Medical Arts Unit,Molecular Defenses Section,0.022508038585209004
Vector Biology Section,Clinical Microbiome Unit (CMU),0.0224609375
Twinbrook III,Food Allergy Research Section,0.0223463687150838
Vector Biology Section,Antibody Biology Unit,0.022289766970618033
Immune Deficiency Genetics Section,Buildings 4 and 10/11C127,0.022263450834879406
Protein Chemistry Section,Molecular Microbiology Section,0.022222222222222223
T-Cell Tolerance and Memory Section,Office of the Animal Program Director,0.022222222222222223
Transplant Infectious Diseases Consult Service,Office of the Animal Program Director,0.022222222222222223
Vector Molecular Biology Section,Clinical Microbiome Unit (CMU),0.022076860179885527
Protein Chemistry Section,Molecular and Cellular Immunology Section,0.02203856749311295
Systems Genomics Section,Bacterial Physiology and Metabolism Unit,0.022026431718061675
Viral Biochemistry Section,Office of the Animal Program Director,0.0220125786163522
Lymphocyte Activation Section,Buildings 4 and 10/11C127,0.021956087824351298
Office of the Animal Program Director,Neuroimmunological Diseases Section,0.0219435736677116
Quantitative Virology and Evolution Unit,Disease Modeling and Transmission Section,0.021910604732690624
Translational Autoinflammatory Disease Studies Unit,Office of the Animal Program Director,0.02181818181818182
Visual and Medical Arts Unit,TSE/Prion and Retroviral Pathogenesis Section,0.02181818181818182
Immunobiology Section,Antibody Biology Unit,0.021775544388609715
Molecular Parasitology and Entomology Unit,Building 50,0.021739130434782608
Office of the Animal Program Director,Molecular Genetics Section (Laboratory of Bacteriology),0.021739130434782608
Office of the Animal Program Director,Molecular Pathology Section,0.021739130434782608
Quantitative Virology and Evolution Unit,Genetic Engineering Section,0.021739130434782608
Office of the Animal Program Director,Infectious Disease Fellowship Training Program,0.021671826625386997
Visual and Medical Arts Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.021621621621621623
Vector-Pathogen-Host Interaction Unit,Molecular Genetics Section (Laboratory of Viral Diseases),0.021574111066719935
Protein Chemistry Section,Nonhuman Primate Virology Section,0.021568627450980392
Tuberculosis Research Section,Buildings 4 and 10/11C127,0.021541950113378686
Primary Immune Deficiency Clinic,Office of the Animal Program Director,0.02145922746781116
Protein Chemistry Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.0213903743315508
Molecular Pathology Section,Clinical Microbiome Unit (CMU),0.021352313167259787
Tick-Pathogen Transmission Unit,Mast Cell Biology Section,0.021310181531176007
Quantitative Virology and Evolution Unit,Intracellular Parasite Biology Section,0.021222410865874362
Molecular Parasitology and Entomology Unit,Human Immunological Diseases Section,0.02119460500963391
Twinbrook III,Human Immunological Diseases Section,0.021120293847566574
Office of the Animal Program Director,Immunobiology and Molecular Virology Unit,0.02108433734939759
Molecular Genetics Section (Laboratory of Viral Diseases),Immune Deficiency Genetics Section,0.021052631578947368
Pathology Core,NIAID International Center of Excellence in Research Cambodia,0.021052631578947368
Mast Cell Biology Section,Building 33,0.021035598705501618
Protein Chemistry Section,Cellular Biology Section,0.02099236641221374
NIAID International Center of Excellence in Research Cambodia,Disease Modeling and Transmission Section,0.02097902097902098
Vector Molecular Biology Section,NIAID International Center of Excellence in Research Cambodia,0.020938023450586266
Malaria Genetics Section,Buildings 4 and 10/11C127,0.02089864158829676
Tuberculosis Research Section,Bacterial Physiology and Metabolism Unit,0.020891364902506964
Bacterial Physiology and Metabolism Unit,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.020887728459530026
Human Eosinophil Section,Buildings 4 and 10/11C127,0.020869565217391306
Office of the Animal Program Director,Fungal Pathogenesis Section,0.020833333333333332
Visual and Medical Arts Unit,Flow Cytometry Section,0.020833333333333332
Tuberculosis Research Section,Antibody Biology Unit,0.02077562326869806
Vector Molecular Biology Section,Buildings 4 and 10/11C127,0.020771513353115726
Clinical Microbiome Unit (CMU),Buildings 4 and 10/11C127,0.02074688796680498
Prion Cell Biology Unit,Office of the Animal Program Director,0.02054794520547945
Twinbrook III,Allergy and Immunology Clinical Training Program,0.02054794520547945
Research Technology Branch,International HIV/STD Section,0.020338983050847456
Virus Ecology Section,Office of the Animal Program Director,0.02030456852791878
Vector-Pathogen-Host Interaction Unit,Clinical Microbiome Unit (CMU),0.020302547770700636
International HIV/STD Section,Functional Cellular Networks Section,0.020292590844738084
Helminth Immunology Section,Clinical Microbiome Unit (CMU),0.02022058823529412
Visual and Medical Arts Unit,Buildings 4 and 10/11C127,0.020202020202020204
Malaria Genetics Section,Antibody Biology Unit,0.020075282308657464
Quantitative Virology and Evolution Unit,Lymphocyte Activation Section,0.02
Visual and Medical Arts Unit,Integrative Immunobiology Section,0.02
Visual and Medical Arts Unit,LID Clinical Studies Unit,0.02
Emerging Respiratory Viruses Section,Buildings 4 and 10/11C127,0.019945602901178604
Medical Virology Section,Buildings 4 and 10/11C127,0.019945602901178604
NIAID International Center of Excellence in Research Cambodia,Molecular Pathology Section,0.0199203187250996
Viral Pathogenesis Section (Laboratory of Immunoregulation),Office of the Animal Program Director,0.019886363636363636
Research Technology Branch,Bacterial Physiology and Metabolism Unit,0.019801980198019802
Protein Chemistry Section,Malaria Immunology Section,0.019726858877086494
Viral Epidemiology and Immunity Unit,International HIV/STD Section,0.019675356615838663
Office of the Animal Program Director,Emerging Virus Immunity Unit,0.019662921348314606
Microbial Pathogenesis Section,Clinical Microbiome Unit (CMU),0.01962457337883959
Protein Chemistry Section,Pathogen-Host Cell Biology Section,0.0196078431372549
Viral Epidemiology and Immunity Unit,Allergy and Immunology Clinical Training Program,0.0196078431372549
Viral Epidemiology and Immunity Unit,Vector-Pathogen-Host Interaction Unit,0.019560878243512974
Protein Chemistry Section,Human Eosinophil Section,0.019559902200488997
Malaria Immunology Section,Antibody Biology Unit,0.019548872180451128
NIAID International Center of Excellence in Research Cambodia,Genetic Immunotherapy Section,0.019525801952580194
Tuberculosis Research Section,Protein Chemistry Section,0.019525801952580194
Office of the Animal Program Director,Metaorganism Immunity Section,0.019498607242339833
Visual and Medical Arts Unit,Prion Cell Biology Unit,0.01948051948051948
Quantitative Virology and Evolution Unit,Immune Deficiency Genetics Section,0.01945945945945946
NIAID International Center of Excellence in Research Cambodia,Intracellular Parasite Biology Section,0.0194585448392555
Molecular Parasitology and Entomology Unit,International HIV/STD Section,0.019240256536753823
Building NIHAC/103,Building 50,0.019230769230769232
Disease Modeling and Transmission Section,Buildings 4 and 10/11C127,0.019230769230769232
Office of the Animal Program Director,HIV-Specific Immunity Section,0.019230769230769232
Office of the Animal Program Director,Lyme Disease Studies Unit,0.019230769230769232
Office of the Animal Program Director,Molecular Pathogenesis and Biomarkers Section,0.01910828025477707
Systems Genomics Section,Protein Chemistry Section,0.01908957415565345
Emerging Respiratory Viruses Section,Antibody Biology Unit,0.019088016967126194
Medical Virology Section,Antibody Biology Unit,0.019088016967126194
Immune Deficiency Genetics Section,Building NIHAC/103,0.0189873417721519
Chemotaxis Signal Section,Bacterial Physiology and Metabolism Unit,0.018957345971563982
Office of the Animal Program Director,Chlamydial Diseases Section,0.018957345971563982
Quantitative Virology and Evolution Unit,Helminth Immunology Section,0.01892147587511826
Viral Epidemiology and Immunity Unit,Building 50,0.018867924528301886
Visual and Medical Arts Unit,Translational Immunobiology Unit,0.018867924528301886
Lymphocyte Activation Section,Clinical Microbiome Unit (CMU),0.01878612716763006
Signaling Systems Section,Office of the Animal Program Director,0.01875
Twinbrook III,Primary Immune Deficiency Clinic,0.01875
Translational Mycology Section,Office of the Animal Program Director,0.01873536299765808
Molecular Parasitology and Entomology Unit,Mast Cell Biology Section,0.0186536901865369
NIAID International Center of Excellence in Research Cambodia,Malaria Genetics Section,0.018633540372670808
Office of the Animal Program Director,Coxiella Pathogenesis Section,0.01856763925729443
Protein Chemistry Section,Immunobiology Section,0.01854974704890388
Office of the Animal Program Director,B-Cell Molecular Immunology Section,0.018518518518518517
Scientist Emerita,Building 14B South,0.018518518518518517
Protein Chemistry Section,Genetic Immunotherapy Section,0.018439716312056736
Pathogenesis and Immunity Section,Buildings 4 and 10/11C127,0.01841620626151013
Vaccine Development Unit,Buildings 4 and 10/11C127,0.01841620626151013
Genetic Immunotherapy Section,Bacterial Physiology and Metabolism Unit,0.018387553041018388
Lymphocyte Activation Section,LID Clinical Studies Unit,0.01838235294117647
Pathogenesis and Immunity Section,Antibody Biology Unit,0.018378378378378378
Vaccine Development Unit,Antibody Biology Unit,0.018378378378378378
NIAID International Center of Excellence in Research Cambodia,Microbial Pathogenesis Section,0.01837270341207349
Transplant Infectious Diseases Consult Service,Quantitative Virology and Evolution Unit,0.01834862385321101
Office of the Animal Program Director,Clinical Research Section,0.01832460732984293
Genetic Engineering Section,Buildings 4 and 10/11C127,0.0182370820668693
Office of the Animal Program Director,Molecular Development of the Immune System Section,0.018223234624145785
Building 50,Allergy and Immunology Clinical Training Program,0.01818181818181818
Visual and Medical Arts Unit,Twinbrook III,0.01818181818181818
Transplant Infectious Diseases Consult Service,Research Technology Branch,0.018072289156626505
Pathogen Molecular Genetics Section,Antibody Biology Unit,0.018046709129511677
Multiscale Systems Biology Section,Building 14B South,0.018018018018018018
Prion Cell Biology Unit,NIAID International Center of Excellence in Research Cambodia,0.017964071856287425
Vector-Pathogen-Host Interaction Unit,Building 33,0.017942583732057416
Office of the Animal Program Director,Cell Signaling and Immunity Section,0.017921146953405017
Molecular Genetics Section (Laboratory of Viral Diseases),Building 50,0.017857142857142856
International HIV/STD Section,Biological Imaging,0.017777777777777778
Mast Cell Biology Section,Clinical Microbiome Unit (CMU),0.0176
Vector-Pathogen-Host Interaction Unit,Molecular Parasitology and Entomology Unit,0.01757890531362365
Vector-Pathogen-Host Interaction Unit,Building NIHAC/103,0.01753686727779992
NIAID International Center of Excellence in Research Cambodia,Human Immunological Diseases Section,0.017526777020447908
Quantitative Virology and Evolution Unit,Microbial Pathogenesis Section,0.017513134851138354
Visual and Medical Arts Unit,Structural Immunology Section,0.01744186046511628
Pathogenesis and Immunity Section,Bacterial Physiology and Metabolism Unit,0.01735357917570499
Vaccine Development Unit,Bacterial Physiology and Metabolism Unit,0.01735357917570499
Twinbrook III,International HIV/STD Section,0.01729106628242075
International HIV/STD Section,Building 33,0.01718213058419244
Twinbrook III,Prion Cell Biology Unit,0.017167381974248927
